Part of Speech,Word,Frequency,Sentence ID
ADJ,едкий,1,1
ADJ,больничный,2,"8, 12"
ADJ,сильный,1,14
ADJ,приятный,2,"18, 21"
ADJ,душистый,1,19
ADJ,-,1,19
ADJ,горький,1,19
ADJ,крепкий,3,"19, 22, 28"
ADJ,душный,1,20
ADJ,мирный,1,22
ADJ,спиртовой,1,24
ADJ,тяжкий,1,25
ADJ,лёгкий,1,34
NOUN,отец (Gen),1,1
NOUN,дух (Gen),5,"3, 4, 26, 27, 34"
NOUN,пальник (Gen),1,5
NOUN,тело (Gen),3,"7, 11, 12"
NOUN,еда (Gen),1,13
NOUN,табак (Dat),1,14
NOUN,пробка (Gen),1,15
NOUN,лепёшка (Gen),1,17
NOUN,порох (Gen),1,20
NOUN,яство (Gen),1,21
NOUN,дым (Gen),1,21
NOUN,двор (Gen),1,22
NOUN,запах (Nom),1,22
NOUN,сена (Gen),1,22
NOUN,мёд (Gen),2,"24, 24"
NOUN,пустота (Gen),1,24
NOUN,мясо (Gen),1,25
NOUN,человек (Acc),1,29
NOUN,картофель (Gen),1,30
NOUN,полынь (Gen),1,33
NOUN,прическе (Loc),1,34
NOUN,вино (Gen),1,34
VERB_HEAD,чувствовать,3,"1, 12, 32"
VERB_HEAD,распространявший,1,3
VERB_HEAD,слышать,1,6
VERB_HEAD,обхватить,1,7
VERB_HEAD,измениться,1,10
VERB_HEAD,происходить,1,12
VERB_HEAD,вызвать,1,13
VERB_HEAD,слышаться,1,14
VERB_HEAD,вспоминать,2,"15, 35"
VERB_HEAD,несло,1,17
VERB_HEAD,принюхивался,1,19
VERB_HEAD,слиться,2,"21, 21"
VERB_HEAD,разлить,1,22
VERB_HEAD,пахнуть,1,24
VERB_HEAD,сливаться,3,"24, 24, 34"
VERB_HEAD,морщась,1,25
VERB_HEAD,распространять,2,"26, 27"
VERB_HEAD,заметить,1,28
VERB_HEAD,чувствоваться,1,29
VERB_HEAD,показаться,1,30
VERB_HEAD,отделяться,1,31
VERB_HEAD,выпадать,1,33
VERB_HEAD,слышав,1,35
VERB_CHILD,успеть,1,9
VERB_CHILD,смешать,1,15
VERB_CHILD,усилившийся,1,32
VERB_CHILD,издавать,1,32
PRON,тем,1,1
OTHER,и,2,"2, 5"
OTHER,",",11,"4, 9, 16, 20, 22, 22, 23, 24, 29, 33, 34"
OTHER,с,5,"5, 21, 24, 33, 34"
OTHER,свой,1,5
OTHER,по,3,"6, 28, 34"
OTHER,этот,7,"10, 11, 12, 12, 15, 35, 35"
OTHER,тот,2,"16, 23"
OTHER,—,2,"18, 34"
OTHER,да,1,18
OTHER,.,1,18
OTHER,к,1,19
OTHER,как,1,24
OTHER,от,1,25
OTHER,по̀та,1,28
OTHER,в,1,29
OTHER,"

",1,35
OTHER,стр,1,35
